name,country,difficulty,elevation (feet),elevation (meters),latitude,longitude,nearest major airport,year first climbed,continent
Ruapehu,new zealand,basic snow/ice climb,9175,2796,-39.289804,175.561523,wellington north island,1886,australia/oceania
Shanahans Mountain,australia,walk up,4629,1411,-35.82917,149.02255,canberra,,australia/oceania
Silberhorn,new zealand,basic snow/ice climb,10836,3303,,,christchurch / mount cook airport,1895,australia/oceania
Spicer's Peak,australia,,3953,1205,-28.099107,152.394074,brisbane,,australia/oceania
"Spurgeon, Mt",australia,walk up,4354,1327,-16.438774,145.200734,cairns,,australia/oceania
Square Rock,australia,,4593,1400,-35.542754,148.891323,canberra,,australia/oceania
Strzelecki,australia,,2480,756,,,,,australia/oceania
"Superbus, Mount",australia,walk up,4511,1375,-28.218367,152.460666,brisbane,,australia/oceania
"Tagpochau, Mount (Saipan)",,walk up,1554,474,,,jindabyne / thredbo,,australia/oceania
Tarewera,new zealand,walk up,3645,1111,,,auckland,,australia/oceania
"Tasman, Mount",new zealand,basic snow/ice climb,11476,3498,-43.5667,170.15,christchurch south island,1895,australia/oceania
"Tate, Mount",australia,,6785,2068,-36.4167,148.25,melbourne,,australia/oceania
"Tennent, Mt",australia,walk up,4511,1375,-35.549808,149.04436,canberra,,australia/oceania
The Magistrate,australia,,4928,1502,-29.376913,152.009656,brisbane,,australia/oceania
The Pinnacles,new zealand,scramble,2490,759,,,auckland,,australia/oceania
The Pyramid,australia,walk up,3835,1169,-35.477288,148.928488,canberra,,australia/oceania
The Round Mountain (New South Wales),australia,walk up,5203,1586,-30.437947,152.239942,coffs harbour,,australia/oceania
Thornton Peak,australia,scramble,4508,1374,-16.164291,145.374119,cairns,,australia/oceania
Tibrogargan,australia,scramble,1194,364,,,brisbane,,australia/oceania
"Tongariro, Mount",new zealand,walk up,6457,1968,,,auckland/wellington,,australia/oceania
"Townsend, Mount",australia,walk up,7247,2209,,,jindabyne / sydney,1840,australia/oceania
"Trikora, Puncak",indonesia,scramble,15518,4730,-4.247641,138.750501,jayapura and wamena,,australia/oceania
"Tukwasmera (Ughen, Tukosmeru)",vanuatu,walk up,3000,914,-19.3434,169.2323,tah- tanna (vli- vanuatu),,australia/oceania
Turner peak,new zealand,basic snow/ice climb,7671,2338,-43.639802,170.147324,christchurch,,australia/oceania
Uluru,australia,walk up,2848,868,-25.2333,130.983,alice springs,,australia/oceania
"Victoria, Mount",papua new guinea,walk up,13363,4073,-8.91667,147.5,port moresby,1950,australia/oceania
Walsh's Peak,australia,scramble,3025,922,-17.1293,145.8,cairns international,,australia/oceania
"Walter, Mount",new zealand,basic snow/ice climb,9514,2900,,,christchurch / mount cook airport,1909,australia/oceania
Wangore,papua new guinea,scramble,3789,1155,,,hoskins,1997,australia/oceania
"Wanungara, Mt",australia,walk up,3901,1189,-28.251847,153.175592,brisbane,,australia/oceania
"Warning, Mt",australia,scramble,3802,1159,-28.4,153.26,brisbane/gold coast (closer),2000,australia/oceania
"Wellington, Mount",australia,walk up,4170,1271,-42.6167,147.3,hobart,,australia/oceania
"Wilhelm, Mount",papua new guinea,scramble,14793,4509,-5.779966,145.029316,nadzab lae papua new guinea,,australia/oceania
"Windsor, Mt",australia,scramble,4432,1351,-16.232454,145.024393,cairns,,australia/oceania
"ylmer, Mt",new zealand,basic snow/ice climb,8855,2699,-43.5167,170.367,christchurch / mt cook,1910,australia/oceania
"Youngal, Mount",australia,,4970,1515,-36.6667,148.167,melbourne,,australia/oceania
"Zeil, Mt",australia,,5023,1531,-23.400925,132.395534,alice springs,,australia/oceania
Šiljak (Rtanj),serbia and montenegro,walk up,5135,1565,43.4625,21.5353,nis,,europe
Ötscher,austria,scramble,6211,1893,47.862053,15.203121,vienna international airport,,europe
Ånieøka,poland,,5256,1602,,,wroclaw,,europe
A'Mhaighdean,united kingdom,scramble,3173,967,57.7196,-5.3463,inverness,,europe
Ackerlspitze,austria,scramble,7641,2329,47.55753,12.335587,,,europe
Adamello,italy,basic snow/ice climb,11660,3554,46.156111,10.496389,milan,1864,europe
Admonter Kalbling,austria,walk up,7205,2196,47.5333,14.5167,graz,,europe
Agios Bernados,france,walk up,8996,2742,,,,1800,europe
Ago di Tredenus,italy,technical climb,9022,2750,46.015069,10.435506,milano orio al serio,1932,europe
Aguglia di Goloritzè,italy,technical climb,541,165,40.089199,9.706682,cagliari,1981,europe
Aguille d' Epaisseur,france,walk up,10512,3204,,,geneve,,europe
Agulles d'Amitges,spain,technical climb,8743,2665,42.62,0.98,barcelona,,europe
Ahornspitze,austria,,9764,2976,,,innsbruck,,europe
Aiarnola,italy,scramble,8055,2456,46.580309,12.445922,venice,,europe
Aiguille Blanche De Peuterey,italy,technical climb,13491,4112,,,geneva,,europe
Aiguille de Bionassay,france,basic snow/ice climb,13294,4052,45.835799,6.818186,geneva switzerland,1888,europe
Aiguille de Chambeyron,france,scramble,11194,3412,44.528313,6.853219,grenoble,1879,europe
aiguille de la grande sassière,france,scramble,12293,3747,45.5048,6.9994,aeroporto internazionale “corrado gex“ saint christophe (aosta),1808,europe
Aiguille de la Tsa,switzerland,technical climb,12034,3668,46.021389,7.522222,sion or geneva switzerland,1868,europe
Aiguille de Peclet,france,basic snow/ice climb,11683,3561,45.281111,6.623889,grenoble geneva,1877,europe
Aiguille De Rochefort,,technical climb,13126,4001,45.8333,7,geneve/lyon/turin/milan,,europe
Aiguille de Roselette,france,scramble,7822,2384,45.770956,6.690459,geneva,,europe
Aiguille de Varan,france,scramble,8346,2544,45.958563,6.683347,geneva,,europe
Aiguille des Glaciers,france/italy,,12520,3816,45.778611,6.8025,,,europe
Aiguille du Chardonnet,france,technical climb,12546,3824,45.968889,7.001389,geneva,1865,europe
Aiguille du Dru,france,technical climb,12320,3755,45.932778,6.956389,,,europe
Aiguille du Goûter,france,basic snow/ice climb,12674,3863,45.842434,6.843109,,,europe
Aiguille du Jardin,france,technical climb,13238,4035,45.934039,6.975799,geneva switzerland,1904,europe
Aiguille Du Midi,france,scramble,12605,3842,,,geneve,1911,europe
Aiguille Du Moine,france,scramble,11194,3412,,,geneva,2001,europe
Aiguille Du Tour,france/switzerland,basic snow/ice climb,11621,3542,,,geneve,1926,europe
Aiguille Sans Nom,france,technical climb,13064,3982,,,geneva,1898,europe
Aiguille Verte,france,basic snow/ice climb,13524,4122,45.9833,6.43333,chamonix france,1865,europe
"Aiguille, Mont",france,technical climb,6842,2085,44.8333,5.55,grenoble or lyon france,1492,europe
Ailama,georgia,major mountain expedition,14918,4547,42.8667,43.2333,tbilisi airport kiev airport moscow airport,1937,europe
Alcazaba,spain,walk up,11057,3371,37.067778,-3.300833,granada,,europe
Aletschhorn,switzerland,technical climb,13763,4195,46.4667,7.98333,bern switzerland,1859,europe
Allalinhorn,switzerland,basic snow/ice climb,13212,4027,46.046139,7.894806,zurich or geneva,1856,europe
Allermuir Hill,united kingdom,walk up,1650,503,,,edinburgh,,europe
Almanzor,spain,scramble,8504,2592,40.258241,-5.329399,madrid barajas,,europe
Almirez,spain,walk up,8261,2518,37.087501,-2.912407,aeropuerto de almería,,europe
Alpe Tre Potenze,italy,basic snow/ice climb,6365,1940,,,pisa,,europe
Alphubel,switzerland,basic snow/ice climb,13799,4206,46.062257,7.864389,geneva,1860,europe
Alpspitze,germany,scramble,8622,2628,47.42956,11.048015,munich,1825,europe
Altmann,switzerland,scramble,7992,2436,47.239588,9.371796,zürich / altstätten,,europe
Alto del Parrejon,spain,walk up,6604,2013,41.236,-3.404,madrid barajas,,europe
Amariana,italy,scramble,6250,1905,46.400735,13.080162,ronchi near udine,1924,europe
Ammergauer Hochplatte,germany,walk up,6831,2082,47.55,10.8333,munich,,europe
An Teallach,united kingdom,scramble,3484,1062,57.807,-5.25172,inverness or aberdeen,,europe
Anboto,spain,technical climb,4367,1331,43.008,-2.596,bilbao,,europe
Aneto,spain,,11168,3404,42.631433,0.655403,lourdes or toulouse france zaragoza or barcelona spain,1842,europe
Antelao,italy,scramble,10709,3264,46.452323,12.261586,milano,1860,europe
Anzer,turkey,basic snow/ice climb,10187,3105,,,trabzon airport 120 km,1979,europe
Čvrsnica,bosnia and herzegovina,walk up,7310,2228,43.5983,17.5544,mostar,1933,europe
Aonach Eagach,united kingdom,scramble,3172,967,56.6794,-5.0374,glasgow,,europe
Aperer Feuerstein,austria,scramble,9737,2968,,,innsbruck,1883,europe
"Aragats, Mount",armenia,scramble,13418,4090,40.523156,44.194593,yerevan international airport (evn),,europe
Aran Fawddwy,united kingdom,walk up,2975,907,52.786776,-3.68866,manchester liverpool,,europe
Arenig Fawr,united kingdom,walk up,2801,854,52.917908,-3.74445,liverpool,,europe
Argentera,italy,scramble,10817,3297,44.1667,7.3,turin or genoa italy  nice france,1879,europe
Arpasul Mare,romania,scramble,8097,2468,,,sibiu,,europe
Arpasul Mic,romania,walk up,8071,2460,,,sibiu,,europe
Arthur's Seat,united kingdom,scramble,823,251,55.944167,-3.161944,edinburgh,,europe
Askio,greece,walk up,6926,2111,40.406389,21.556667,kozani,,europe
Askja,iceland,walk up,4974,1516,65.05,-16.75,akureyri iceland,,europe
Aspe,spain,walk up,8678,2645,42.764784,-0.567169,zaragoza,,europe
Astraka,greece,scramble,7992,2436,,,ioannina,,europe
Athos,greece,walk up,6670,2033,,,salonika makedonia airport,,europe
Auersberg,germany,,3343,1019,50.455556,12.648056,dresden,,europe
Augstenberg,austria/switzerland,basic snow/ice climb,10590,3228,46.8667,10.2,innsbruck,,europe
Aukstojas,lithuania,walk up,961,293,54.529444,25.634444,vilnius,2004,europe
Aukstojas,lithuania,walk up,961,293,54.529444,25.634444,vilnius,2004,europe
Ausserer Hahlkogel,austria,scramble,8711,2655,,,insbruck,,europe
Avala,serbia and montenegro,walk up,1690,515,44.690278,20.514167,belgrade,,europe
Avic,italy,scramble,9862,3006,45.689439,7.564168,turin,1875,europe
Axe Edge,united kingdom,walk up,1808,551,53.2325,-1.948889,manchester,,europe
Bålleberget,sweden,walk up,981,299,61.962005,17.030208,sundsvall/ midlanda,1900,europe
Bütlasse,switzerland,scramble,10476,3193,46.518667,7.819889,bern switzerland,,europe
Babia Góra,poland/slovakia,walk up,5659,1725,49.573333,19.529444,kraków balice,1782,europe
Babin zub,serbia and montenegro,scramble,5764,1757,43.2019,22.3156,nish,,europe
Babis Mta,georgia/russia,major mountain expedition,14613,4454,42.8833,43.4,tbilisi airport,,europe
Baffelan,italy,scramble,5883,1793,45.733866,11.175907,verona,1877,europe
Baiu Mare,romania,walk up,6217,1895,,,bucuresti - otopeni,,europe
Balaitous,spain/france,basic snow/ice climb,10322,3146,42.838717,-0.290966,lourdes or toulouse france zaragoza pamplona or barcelona spain,1825,europe
Balfrin,switzerland,,12451,3795,46.135083,7.880278,,,europe
Balmenhorn,italy,basic snow/ice climb,13671,4167,45.915751,7.866667,milan italy,,europe
balmhorn,switzerland,scramble,12133,3698,46.3917,7.69361,bern,1864,europe
Banikov,slovakia,scramble,7146,2178,49.197859,19.710073,poprad,,europe
Baranec,slovakia,walk up,7165,2184,49.1736,19.7416,tatry - poprad,,europe
Barrhorn,switzerland,walk up,11844,3610,46.149632,7.737036,geneve and bern,,europe
Bavski Grintavec,slovenia,,7690,2344,46.439986,13.733253,ljubljana bled (only for sport planes) bovec (only for sport planes),,europe
Bazarduzu,azerbaijan/russia,scramble,14652,4466,41.220556,47.857778,heydar aliyev international airport (gyd),1890,europe
Becca di Luseney,italy,,11496,3504,45.870278,7.490833,torino geneva milano,,europe
Becca di Nona,italy,walk up,10308,3142,45.68707,7.365814,turin,1832,europe
Becco di Valsoera,italy,scramble,11053,3369,45.507826,7.37823,torino,1879,europe
Becco Meridionale Della Tribolazione,italy,scramble,11024,3360,45.499444,7.333599,torino,1875,europe
Becs de Bosson,switzerland,scramble,10331,3149,46.167895,7.518366,geneve,,europe
Beenkeragh,ireland,walk up,3314,1010,52.007287,-9.746835,kerry airport (killarney),,europe
Beerenberg,jan mayen,technical climb,7470,2277,71.0833,-8.16667,,1921,europe
Beinn Dorain,united kingdom,scramble,3530,1076,56.5043,-4.72301,glasgow,,europe
Beinn Eighe,united kingdom,walk up,3313,1010,57.595,-5.42991,inverness / aberdeen,,europe
Beinn Ime,united kingdom,walk up,3317,1011,56.2376,-4.81763,glasgow,,europe
Beinn na Caillich,united kingdom,walk up,2402,732,57.25,-5.7,inverness,,europe
Beinn Narnain,united kingdom,walk up,3038,926,56.220556,-4.79,glasgow international,,europe
Belchen,germany,walk up,4639,1414,47.82301,7.833424,basel/mulhouse,,europe
Ben Alder,united kingdom,walk up,3766,1148,56.813189,-4.465513,glasgow,,europe
Ben Donich,united kingdom,walk up,2779,847,56.197778,-4.873889,glagow airport,,europe
Ben Hope,united kingdom,basic snow/ice climb,3041,927,58.41355,-4.60874,aberdeen,,europe
Ben Lawers,united kingdom,walk up,3950,1204,56.545556,-4.220833,glasgow,,europe
Ben Ledi,united kingdom,walk up,2888,880,56,-4,glasgow or edinburgh,,europe
Ben Lomond,united kingdom,walk up,3195,974,56.188765,-4.630137,glasgow airport,,europe
Ben Lui,united kingdom,walk up,3707,1130,56.397,-4.8111,glasgow,,europe
Ben Macdui,united kingdom,walk up,4294,1309,57.0712,-3.66961,aberdeen / glasgow,,europe
Ben More,united kingdom,walk up,3166,965,56.424732,-6.013333,glasgow,,europe
Ben Nevis,united kingdom,walk up,4409,1344,56.7979,-5.00419,glasgow,1771,europe
Ben Tee,united kingdom,walk up,2956,901,57.0325,-4.899167,inverness,,europe
Ben Vane,united kingdom,walk up,3002,915,56.2498,-4.78172,glasgow,,europe
Ben Venue,united kingdom,walk up,2750,838,56,-4,glasgow or edinburgh,,europe
Ben Wyvis,united kingdom,walk up,3432,1046,57.679167,-4.579167,inverness or glasgow,,europe
Benbulben,ireland,,1739,530,54.366467,-8.47525,belfast international,,europe
Bench Tor,united kingdom,walk up,1024,312,50.289339,-3.80127,exeter,,europe
Benna,italy,walk up,7356,2242,,,milan,,europe
Bergseeschijen,switzerland,scramble,9236,2815,46.658601,8.484082,lugano berna,,europe
Bernina,switzerland/italy,basic snow/ice climb,13284,4049,46.382393,9.90824,zurich switzerland,1850,europe
Beskid Krzyżowski,poland/slovakia,walk up,3028,923,49.3426,19.2344,bielsko biała,,europe
Besler,germany,walk up,5512,1680,,,munich augsburg,,europe
Besna Kobila,serbia and montenegro,walk up,6309,1923,42.33,22.14,niš,,europe
Biberkopf,germany,scramble,8527,2599,47.2667,10.25,friedrichshafen,,europe
Bidean Nam Bian,united kingdom,scramble,3773,1150,56.6422,-5.02976,glasgow,,europe
Bietschhorn,switzerland,technical climb,12907,3934,46.39125,7.85075,geneva,,europe
Bihor,romania,walk up,6066,1849,46.4408,22.6889,oradea,,europe
Binnein Mor,united kingdom,walk up,3707,1130,56.7541,-4.92685,glasgow,,europe
Birkkarspitze,austria,walk up,9019,2749,47.411111,11.437778,innsbruck,,europe
Bisaurin,spain,walk up,8760,2670,42.789858,-0.640469,pamplona,,europe
Bishorn,switzerland,basic snow/ice climb,13625,4153,46.1179,7.714977,geneve / sion,,europe
Bjelasnica,bosnia and herzegovina,walk up,6781,2067,43.7036,18.257,sarajevo airport,,europe
Bla Bheinn,united kingdom,scramble,3044,928,57.2196,-6.09312,inverness,1857,europe
Black Hill,united kingdom,walk up,1909,582,,,manchester,,europe
Blackhope Scar,united kingdom,walk up,2136,651,,,edinburgh,,europe
Blahnukur,iceland,walk up,3094,943,,,keflavik,,europe
Blanc De Moming,switzerland,scramble,12018,3663,,,,,europe
Blea Rigg,united kingdom,walk up,1775,541,54.460833,-3.078333,manchester,,europe
Blemlisalphorn,switzerland,technical climb,12008,3660,46.5,7.76667,zürich,1860,europe
Blencathra,united kingdom,walk up,2847,868,54.64,-3.04978,manchester,,europe
Blinnenhorn,italy/switzerland,scramble,10981,3347,46.425944,8.308028,milan,,europe
Bobotov kuk,serbia and montenegro,scramble,8277,2523,,,podgorica,,europe
Bockkarkopf,germany,scramble,8556,2608,47.292096,10.28801,friedrichshafen memmingen,,europe
Botev,bulgaria,walk up,7795,2376,42.7167,24.9167,sofia,,europe
Botnkrona,norway,,3517,1072,65.4466,12.0225,sandnessjøen lufthavn stokka,,europe
BouÁa,portugal,,4715,1437,,,oporto,,europe
Bouldsworth Hill,united kingdom,walk up,1700,518,53.817274,-2.108688,leeds bradford,,europe
Bourinos,greece,walk up,6122,1866,40.1833,21.65,kozani,1993,europe
Bowfell,united kingdom,walk up,2959,902,54.4492,-3.16676,manchester,,europe
Bradavica,slovakia,technical climb,8123,2476,49.171716,20.155621,poprad,1892,europe
Braeriach,united kingdom,walk up,4252,1296,57.0777,-3.73055,inverness / aberdeen,,europe
Brandon Mountain,ireland,scramble,3127,953,52.235278,-10.254444,farranfore,1998,europe
Bratkov Peak,,walk up,6375,1943,43.3167,22.75,belgrade,,europe
Breitenberg,germany,scramble,6211,1893,47.469501,10.383196,memmingen,,europe
Breithorn,switzerland/italy,basic snow/ice climb,13661,4164,45.939627,7.754101,geneva,1813,europe
Breithorn (Simplon),switzerland,basic snow/ice climb,11280,3438,46.23837,8.08401,geneve,,europe
Breitinden,norway,walk up,2986,910,65.4466,12.0225,sandnessjøen lufthavn stokka,,europe
Brenibba,norway,,6621,2018,61.764444,7.194167,oslo norway,,europe
Brenta Alta,italy,scramble,9711,2960,46.184616,10.898473,trento verona,1880,europe
Broad Cairn,united kingdom,walk up,3274,998,56.9186,-3.25,aberdeen,,europe
Brocken,germany,walk up,3747,1142,51.79938,10.616226,hannover,1777,europe
Bronzone,italy,walk up,4377,1334,,,orio al serio bergamo,,europe
"Brouillard, Mont",italy,basic snow/ice climb,13297,4053,45.817554,6.865094,geneva switzerland,,europe
Bruach Na Frithe,united kingdom,scramble,3143,958,,,glasgow,1845,europe
Brunegghorn,switzerland,basic snow/ice climb,12575,3833,46.125944,7.745917,geneva milano,,europe
Buachaille Etive Mor,united kingdom,walk up,3345,1020,56.646176,-4.900846,glasgow int.,,europe
Bucsoiu,romania,walk up,8071,2460,,,bucharest,,europe
Bucura,romania,walk up,8215,2504,,,otopenibucharest,,europe
Bussen,germany,walk up,2516,767,48.16328,9.556518,memmingen,,europe
Butlassen,switzerland,basic snow/ice climb,10476,3193,,,bern - belp,,europe
Buurgplaatz,luxembourg,walk up,1834,559,50.1615,6.0281,luxembourg city,,europe
Cader Idris,united kingdom,,2927,892,52.699722,-3.908611,manchester,,europe
Cagire,france,walk up,6273,1912,42.9464,0.7661,toulouse,,europe
Cahir,ireland,walk up,3284,1001,51.994238,-9.759565,shannon,1998,europe
Cairn Gorm,united kingdom,walk up,4050,1234,57.1171,-3.6423,glasgow,,europe
Calderón,spain,walk up,6027,1837,40.099084,-1.312866,valencia,,europe
Calton Hill,united kingdom,walk up,362,110,55.955278,-3.182222,edinburgh,,europe
Calvitero,spain,walk up,7890,2405,40.293144,-5.739155,barajas (madrid),,europe
Campanile Basso,italy,technical climb,9439,2877,46.1615,10.8946,verona,1908,europe
Campsie Fell,united kingdom,walk up,1780,543,,,glasgow airport,,europe
Canali (Cima),italy,technical climb,9485,2891,46.23911,11.874168,padova venezia,1879,europe
Canchal de la Ceja,spain,walk up,7966,2428,40.327702,-5.711861,madrid,,europe
Cancias,spain,scramble,6552,1997,42.471274,-0.15604,lourdes,,europe
Candina,spain,scramble,1604,489,43.409939,-3.345135,santander,,europe
Canigou,france,walk up,9127,2782,42.515,2.46,perpignan,,europe
Canin,italy/slovenia,basic snow/ice climb,8481,2585,,,trieste,,europe
Cantaro Magro,portugal,walk up,6325,1928,40.327964,-7.599277,pedras rubras (oporto),,europe
Caraiman,romania,walk up,7822,2384,45.416407,25.493603,,,europe
Care Alto,italy,scramble,11368,3465,46.10792,10.595981,milan,1864,europe
Carlit,france,walk up,9583,2921,42.570781,1.93119,perpignan,,europe
Carn Dearg,united kingdom,walk up,3087,941,,,glasgow,1800,europe
Carn Mor Dearg,united kingdom,scramble,4002,1220,56.805272,-4.986763,glasgow,,europe
Carnedd Dafydd,united kingdom,walk up,3425,1044,53.147222,-4.001944,manchester,,europe
Carnedd Llewelyn,united kingdom,walk up,3491,1064,53.160564,-3.969841,birmingham liverpool,,europe
Carnedd y Filiast,united kingdom,walk up,2694,821,53.143147,-4.063605,,,europe
Carrantuohill,ireland,walk up,3414,1040,52,-9.75,shannon ireland,,europe
Carrick Fell,united kingdom,walk up,2174,663,,,manchester,,europe
Casamanya,andorra,walk up,9006,2745,42.584939,1.564522,barcelona / toulouse,,europe
Casco,spain,scramble,9862,3006,42.687646,-0.027363,barcelona zaragoza (spain) lourdes toulouse (france),,europe
Castello (Torre),italy,technical climb,8031,2448,44.511152,6.922451,torino,1913,europe
Castor,switzerland/italy,basic snow/ice climb,13871,4228,45.920916,7.793384,milano torino geneva z?rich,,europe
Cat Bells,united kingdom,walk up,1480,451,54.56682,-3.171262,manchester,,europe
Catinaccio,italy,scramble,9780,2981,46.4716,11.6505,verona,1874,europe
Catoute,spain,walk up,6946,2117,42.801438,-6.321879,asturias leon,,europe
Catstye Cam,united kingdom,walk up,2920,890,54.5335,-3.00893,manchester,,europe
Cavallo,italy,basic snow/ice climb,7621,2323,,,bergamo,,europe
Cefn-yr-Ogof,united kingdom,,669,204,53.281667,-3.627222,liverpool,,europe
Cerni Vruh,bulgaria,walk up,7513,2290,,,sofia,,europe
Cevedale,italy,basic snow/ice climb,12365,3769,46.448055,10.620833,malpensa (milan),,europe
Chanchakhi,georgia,major mountain expedition,14639,4462,42.8833,43.3333,tbilisi airport,,europe
Chateau Des Dames,italy,basic snow/ice climb,11381,3469,,,torino,,europe
Chatini,georgia,major mountain expedition,14475,4412,43.2167,42.8333,tbilisi kiev and moscow airports,1936,europe
Chenalette,switzerland/italy,scramble,9160,2792,45.874145,7.164202,geneva international airport,,europe
Cherni Vrah,bulgaria,walk up,7513,2290,42.1,23.05,vrajdebna,,europe
Chopok,slovakia,walk up,6640,2024,48.943611,19.59,sliac tatry - poprad,,europe
Chorblispitz,switzerland,walk up,6900,2103,46.6167,7.26667,bern,,europe
Chorna Gora,ukraine,,6629,2020,48.0469,24.6277,ivano-frankivs'k l'viv chernivtsi uzhhorod,,europe
Chullo,spain,walk up,8563,2610,37.095169,-3.000126,aeropuerto de almería,,europe
Ciarforon,italy,basic snow/ice climb,11942,3640,45.493989,7.247539,torino,1871,europe
Ciemniak,poland/slovakia,,6877,2096,49.240914,20.052795,krakow,1908,europe
Cima d'Asta,italy,scramble,9341,2847,46.17677,11.605597,venice,,europe
Cima della Fradusta,italy,walk up,9642,2939,46.2511,11.8734,,,europe
Cima Della Laurasca,italy,walk up,7195,2193,,,milan malpensa,,europe
Cima della Vezzana,italy,walk up,10472,3192,46.2899,11.8305,,,europe
Cima di Jazzi,italy/switzerland,basic snow/ice climb,12477,3803,45.980681,7.894707,milano,,europe
Cima Di Lemma,italy,walk up,7703,2348,,,,,europe
Cima Dosegu,italy,basic snow/ice climb,11680,3560,46.382914,10.557163,milan,,europe
Cima Furchetta,italy,,9925,3025,46.612225,11.772873,,1880,europe
Cima Grande,italy,technical climb,9839,2999,46.3833,11.85,venice italy,1869,europe
Cima Moren,italy,walk up,7933,2418,,,bergamo,,europe
Cima Ortles,italy,basic snow/ice climb,12802,3902,46.5167,10.55,innsbruck austria  venice italy,1804,europe
Cima Ovest Di Lavaredo,italy,scramble,2973,906,,,treviso,1879,europe
Cima Piana,italy,walk up,8241,2512,45.646073,7.608543,torino,,europe
Cima Piccola Di Lavaredo,italy,scramble,9350,2850,,,treviso,1881,europe
Cima Piccolissima Di Lavaredo,italy,technical climb,8858,2700,,,treviso,1913,europe
Cima Preti,italy,,8868,2703,46.3333,12.3333,venice,,europe
Cima Solda - Suldenspitze,italy,basic snow/ice climb,11076,3376,46.4683,10.6004,milan,,europe
Cima Tosa,italy,basic snow/ice climb,10410,3173,46.1556,10.8633,innsbruck milan,,europe
Cima Valumbrina,italy,walk up,10571,3222,46.363265,10.540761,milan saint moritz,,europe
Cima Villacorna,italy,walk up,11309,3447,46.36953,10.55453,milan,,europe
Cime dei Forni,italy,scramble,10653,3247,46.4487,10.55,milan zurich,,europe
Cime du Glas,france,scramble,10312,3143,,,nice cٴe d'azur (nice),1864,europe
Cimon del Latemar,italy,scramble,9324,2842,46.3444,11.572,bolzano dolomiti airport,,europe
Cimon della Pala,italy,technical climb,10446,3184,46.285828,11.820602,padova verona,1870,europe
Cimone della Bagozza,italy,scramble,7897,2407,46.011111,10.250556,bergamo,,europe
Cir Mhor,united kingdom,scramble,2621,799,55.638812,-5.222822,,,europe
Ciucas,romania,walk up,6381,1945,,,bucharest,,europe
"Civetta, Monte",italy,scramble,10561,3219,46.377231,12.050086,venezia,1867,europe
Clach Glas,united kingdom,scramble,2582,787,57.223009,-6.085957,inverness,,europe
Clough Head,united kingdom,walk up,2382,726,54.592655,-3.034115,manchester liverpool,,europe
Cnicht,united kingdom,walk up,2265,690,53,-4,manchester,,europe
Cnoc Coinnich,united kingdom,walk up,2497,761,56.166389,-4.846389,glasgow airport,,europe
Coglians,italy,scramble,9147,2788,46.607092,12.883378,ronchi dei legionari  (udine friuli),1865,europe
Col Nudo,italy,walk up,8107,2471,46.1667,12.3333,belluno-italy,,europe
Col Rosà,italy,scramble,7106,2166,46.586652,12.097442,venice,,europe
Coleman Peak,austria,scramble,7690,2344,,,seattle,,europe
Collarada,spain,walk up,9468,2886,42.709182,-0.459538,zaragoza (spain) - pau (france),,europe
"Colombier, Mount",france,scramble,6703,2043,45.644408,6.119127,chambery,,europe
Coltul Balaceni,romania,walk up,7500,2286,,,sibiu,,europe
Coma Pedrosa,andorra,walk up,9652,2942,42.593027,1.441956,,,europe
Concarena,italy,scramble,8363,2549,46.011389,10.279444,bergamo,,europe
Coriscao,spain,walk up,7329,2234,43.0861,-4.79402,santander,,europe
Corn Du,united kingdom,walk up,2864,873,51.884333,-3.437133,cardiff,,europe
Corna Di Medale,italy,walk up,3376,1029,,,milan linate bergamo,,europe
Corno dei Tre Signori,italy,scramble,11024,3360,46.34323,10.51569,milan,1876,europe
Corno Grande,italy,walk up,9554,2912,42.4667,13.5667,rome italy,1794,europe
Corno Piccolo,italy,scramble,9482,2890,42.471099,13.570514,rome,,europe
Corno Stella,italy,technical climb,10007,3050,44.263903,7.174068,torino,1903,europe
Cornone Di Blumone,italy,scramble,9317,2840,,,milano linate,,europe
Corraun Tuathal,ireland,walk up,3602,1098,51.99166,-9.724311,shannon ai,,europe
Corstorphine Hill,united kingdom,walk up,650,198,55.95138,-3.272279,edinburgh,,europe
Costila,romania,walk up,8196,2498,45.427,25.4854,bucuresti otopeni,,europe
Courmaon,italy,scramble,10374,3162,45.456814,7.232433,torino,1880,europe
Crib Goch,united kingdom,scramble,3028,923,53.0768,-4.05302,liverpool birmingham manchester,,europe
Crib Y Ddysgl,united kingdom,walk up,3449,1065,53.059271,-4.056015,manchester,,europe
Cribyn,united kingdom,walk up,2608,795,51.881472,-3.420103,,,europe
Crna Glava,serbia and montenegro,walk up,7018,2139,,,podgorica,1997,europe
Croagh Patrick,ireland,walk up,2493,760,53.761702,-9.711914,galway,,europe
Croda di Santa Croce,italy,scramble,9928,3026,46.622385,11.960893,venice,,europe
Cross Fell,united kingdom,walk up,2902,885,54.702778,-2.487222,manchester,,europe
Crozzon di Brenta,italy,scramble,10285,3135,46.182714,10.890234,trento verona,1882,europe
Cueto Agero,spain,walk up,3333,1016,43.225239,-4.59793,santander asturias,,europe
Culter Fell,united kingdom,walk up,2454,748,55.55,-3.5,glasgow,,europe
Curavacas,spain,scramble,8268,2520,42.978236,-4.673553,leon,,europe
Cusna,italy,basic snow/ice climb,6955,2120,,,,1873,europe
Dôme du Goûter,france,basic snow/ice climb,14121,4304,45.837889,6.853237,,,europe
